,academic_year,inst_name,city,state,zipcode,sector
52433,2003,A T Still University of Health Sciences,Kirksville,MO,63501,2
13316,2003,ACT College,Arlington,VA,22209-229,6
62677,2003,AIB College of Business,Des Moines,IA,50321-179,5
17225,2003,ASA Institute of Business and Computer Technology,Brooklyn,NY,11201,6
32753,2003,ATI Technical Training Center,Dallas,TX,75235,9
58903,2003,Aaron's Academy of Beauty,Waldorf,MD,20602,9
32865,2003,Abilene Christian University,Abilene,TX,79699,2
38937,2003,Abington Memorial Hospital Dixon School of Nursing,Willow Grove,PA,19090-128,5
68094,2003,Abraham Baldwin Agricultural College,Tifton,GA,31793-260,4
12393,2003,Academia Serrant Inc,Ponce,PR,00717-156,9
54667,2003,Academy College,Minneapolis,MN,55420-155,3
76896,2003,Academy of Art University,San Francisco,CA,94105,3
27023,2003,Academy of Careers and Technology,Beckley,WV,25801,7
76870,2003,Academy of Chinese Culture and Health Sciences,Oakland,CA,94612,2
51542,2003,Academy of Cosmetology Inc,Bozeman,MT,59715-354,6
16307,2003,Academy of Cosmetology,Charleston,SC,29418-560,9
19538,2003,Academy of Hair Design Four,Pearl,MS,39208,6
39707,2003,Academy of Hair Design Inc,Salem,OR,97301,6
53441,2003,Academy of Hair Design One,Grenada,MS,38901,6
21055,2003,Academy of Hair Design Three,Jackson,MS,39204,6
9405,2003,Academy of Hair Design,Beaumont,TX,77701-465,9
50729,2003,Academy of Hair Design,Las Vegas,NV,89102,6
9418,2003,Academy of Hair Design,Lufkin,TX,75904,9
28348,2003,Academy of Hair Design,Wenatchee,WA,98801,6
20635,2003,Academy of Hair Technology,Greenville,SC,29615-236,9
68942,2003,Academy of Healing Arts Massage & Facial Skin Care,Lake Worth,FL,33463-211,9
38885,2003,Academy of Vocal Arts,Philadelphia,PA,19103-668,2
19195,2003,Acupuncture and Integrative Medicine College-Berkeley,Berkeley,CA,94704,2
72097,2003,Adams State College,Alamosa,CO,81102,1
48679,2003,Adelphi University,Garden City,NY,11530-070,2
13118,2003,Adirondack Beauty School,Glens Falls,NY,12801-000,9
48666,2003,Adirondack Community College,Queensbury,NY,12804,4
66331,2003,Adler School of Professional Psychology,Chicago,IL,60601,2
56116,2003,Adrian College,Adrian,MI,49221-257,2
50037,2003,Adult & Continuing Education-BCTS,Hackensack,NJ,07601-663,7
18683,2003,Adult Center for Education,Zanesville,OH,43701,7
26875,2003,Advanced Institute of Hair Design,Greenfield,WI,53220,6
86159,2003,Advanced Technical Centers,Miami,FL,33166,8
29695,2003,Advanced Technology Institute,Virginia Beach,VA,23462,6
58878,2003,Aesthetics Institute of Cosmetology,Gaithersburg,MD,20877,9
68081,2003,Agnes Scott College,Decatur,GA,30030-379,2
35515,2003,Aiken Technical College,Graniteville,SC,29829,4
13260,2003,Ailano School of Cosmetology,Brockton,MA,02301-573,9
72084,2003,Aims Community College,Greeley,CO,80632,4
42867,2003,Akron School of Practical Nursing,Akron,OH,44311-169,7
79331,2003,Alabama A & M University,Normal,AL,35762,1
81745,2003,Alabama Southern Community College,Monroeville,AL,36460,4
79279,2003,Alabama State University,Montgomery,AL,36101-027,1
43385,2003,Alamance Community College,Graham,NC,27253-800,4
76837,2003,Alameda Beauty College,Alameda,CA,94501,9
78604,2003,Alaska Pacific University,Anchorage,AK,99508,2
14004,2003,Albany BOCES-Adult Practical Nursing Program,Albany,NY,12205,7
48623,2003,Albany Law School,Albany,NY,12208,2
48610,2003,Albany Medical College,Albany,NY,12208,2
68015,2003,Albany State University,Albany,GA,31705,1
68041,2003,Albany Technical College,Albany,GA,31701,4
71206,2003,Albertus Magnus College,New Haven,CT,06511-118,2
56103,2003,Albion College,Albion,MI,49224,2
38869,2003,Albright College,Reading,PA,19612-523,2
53594,2003,Alcorn State University,Alcorn State,MS,39096-750,1
27411,2003,Alderson Broaddus College,Philippi,WV,26416-203,2
51033,2003,Alegent Health School of Radiologic Technology,Omaha,NE,68124,5
22062,2003,Alexandria School of Scientific Therapeutics,Alexandria,IN,46001-028,9
81485,2003,Alfred University,Alfred,NY,14802-120,2
18307,2003,Alhambra Beauty College,Alhambra,CA,91801,9
60843,2003,Alice Lloyd College,Pippa Passes,KY,41844,2
76818,2003,Allan Hancock College,Santa Maria,CA,93454-639,4
58865,2003,Allegany College of Maryland,Cumberland,MD,21502,4
38843,2003,Allegheny College,Meadville,PA,16335-390,2
42840,2003,Allegheny Wesleyan College,Salem,OH,44460-959,2
62693,2003,Allen College,Waterloo,IA,50703-199,2
61716,2003,Allen County Community College,Iola,KS,66749,4
48597,2003,Allen School-Brooklyn,Brooklyn,NY,11201,9
14827,2003,Allen School-Jamaica,Jamaica,NY,11432,9
35502,2003,Allen University,Columbia,SC,29204,2
56064,2003,Alma College,Alma,MI,48801-159,2
56051,2003,Alpena Community College,Alpena,MI,49707,4
22594,2003,Altamaha Technical College,Jesup,GA,31545,4
38804,2003,Altoona Beauty School Inc,Altoona,PA,16602-603,9
26862,2003,Alverno College,Milwaukee,WI,53234-392,2
32840,2003,Alvin Community College,Alvin,TX,77511-489,4
81472,2003,Amarillo College,Amarillo,TX,79109,4
32827,2003,Amberton University,Garland,TX,75041-559,2
66289,2003,American Academy of Art,Chicago,IL,60604-430,3
34269,2003,American Baptist College,Nashville,TN,37207,2
76792,2003,American Baptist Seminary of the West,Berkeley,CA,94704-302,2
10157,2003,American Beauty Academy,Wheaton,MD,20902-191,9
22846,2003,American Beauty Institute,McAlester,OK,74502-171,9
11114,2003,American College of Acupuncture and Oriental Med,Houston,TX,70063-410,3
51856,2003,American College of Hair Design Inc,Sedalia,MO,65301,9
62614,2003,American College of Hairstyling-Cedar Rapids,Cedar Rapids,IA,52402,6
62318,2003,American College of Hairstyling-Des Moines,Des Moines,IA,50309,6
10686,2003,American College of Traditional Chinese Medicine,San Francisco,CA,94107,2
38775,2003,American College,Bryn Mawr,PA,19010-219,2
76738,2003,American Conservatory Theater,San Francisco,CA,94108-583,2
25692,2003,American Educational College,Bayamon,PR,961,9
76779,2003,American Film Institute Conservatory,Los Angeles,CA,90027-162,2
78467,2003,American Indian College of the Assemblies of God Inc,Phoenix,AZ,85021,2
78454,2003,American Institute of Technology,Phoenix,AZ,85043-472,9
57955,2003,American International College,Springfield,MA,1109,2
48528,2003,American Musical and Dramatic Academy,New York,NY,10023,5
80595,2003,American River College,Sacramento,CA,95841-428,4
25777,2003,American Samoa Community College,Pago Pago,AS,96799-260,4
60001,2003,American School of Business,Shreveport,LA,71105-564,9
41845,2003,American School of Technology,Columbus,OH,43229,9
80764,2003,American University of Puerto Rico,Bayamon,PR,00960-203,2
70267,2003,American University,Washington,DC,20016-800,2
57938,2003,Amherst College,Amherst,MA,01002-500,2
63938,2003,Ancilla College,Donaldson,IN,46513-000,5
63924,2003,Anderson University,Anderson,IN,46012-349,2
35489,2003,Anderson University,Anderson,SC,29621,2
57925,2003,Andover Newton Theological School,Newton Centre,MA,02459-224,2
67991,2003,Andrew College,Cuthbert,GA,39840-139,5
56028,2003,Andrews University,Berrien Springs,MI,49104,2
32736,2003,Angelina College,Lufkin,TX,75904,4
32723,2003,Angelo State University,San Angelo,TX,76909,1
57912,2003,Anna Maria College,Paxton,MA,01612-119,2
58852,2003,Anne Arundel Community College,Arnold,MD,21012-189,4
54629,2003,Anoka Technical College,Anoka,MN,55303,4
76697,2003,Antelope Valley College,Lancaster,CA,93536-542,4
38762,2003,Antonelli Institute,Erdenheim,PA,19038-824,6
24169,2003,Antonelli Medical and Professional Institute,Pottstown,PA,19464,9
63911,2003,Apex Academy of Hair Design Inc,Anderson,IN,46016-115,9
48515,2003,Apex Technical School,New York,NY,10011,9
42819,2003,Apollo Career Center,Lima,OH,45806-145,7
54616,2003,Apostolic Bible Institute Inc,Saint Paul,MN,55128-702,2
27398,2003,Appalachian Beauty School,South Williamson,KY,41503,6
9883,2003,Appalachian School of Law,Grundy,VA,24614-282,2
44850,2003,Appalachian State University,Boone,NC,28608,1
56012,2003,Aquinas College,Grand Rapids,MI,49506-179,2
34256,2003,Aquinas College,Nashville,TN,32705,2
53020,2003,Aquinas Institute of Theology,Saint Louis,MO,63108,2
72063,2003,Arapahoe Community College,Littleton,CO,80160-900,4
38646,2003,Arcadia University,Glenside,PA,19038-329,2
23647,2003,Arizona Academy of Beauty-North,Tucson,AZ,85705,9
12605,2003,Arizona Board of Regents,Phoenix,AZ,85004,0
12448,2003,Arizona College of Allied Health,Glendale,AZ,85302,6
78409,2003,Arizona Western College,Yuma,AZ,85365-883,4
77735,2003,Arkansas Baptist College,Little Rock,AR,72202-609,2
21531,2003,Arkansas Beauty School,Conway,AR,72032,9
77722,2003,Arkansas Beauty School,Little Rock,AR,72209,9
77687,2003,Arkansas College of Barbering and Hair Design,North Little Rock,AR,72114,9
77257,2003,Arkansas Northeastern College,Blytheville,AR,72316-110,4
82161,2003,Arkansas State University-Beebe,Beebe,AR,72012-100,4
12684,2003,Arkansas State University-Mountain Home,Mountain Home,AR,72653,4
77632,2003,Arkansas Tech University,Russellville,AR,72801-222,1
32710,2003,Arlington Baptist College,Arlington,TX,76012-342,2
32697,2003,Arlington Career Institute,Grand Prairie,TX,75050,6
11088,2003,Arlington Medical Institute,Arlington,TX,76011,9
67978,2003,Armstrong Atlantic State University,Savannah,GA,31419-199,1
34243,2003,Arnolds Beauty School,Milan,TN,38358,9
83993,2003,Arnot Ogden Medical Center,Elmira,NY,14905-167,5
42806,2003,Art Academy of Cincinnati,Cincinnati,OH,45202-170,2
76672,2003,Art Center College of Design,Pasadena,CA,91103,2
77674,2003,Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,72901-334,9
82174,2003,Arthur's Beauty College Inc,Jacksonville,AR,72076,9
15227,2003,Artistic Academy of Hair Design,Morris Plains,NJ,7950,9
80699,2003,Asbury Theological Seminary,Wilmore,KY,40390-119,2
62078,2003,Ashford University,Clinton,IA,52733-296,3
42773,2003,Ashland University,Ashland,OH,44805,2
18267,2003,Asian American International Beauty College,Westminster,CA,92683,9
11332,2003,Askins Vo-Tech,Fort Smith,AR,72908,9
71180,2003,Asnuntuck Community College,Enfield,CT,6082,4
53007,2003,Assemblies of God Theological Seminary,Springfield,MO,65802-213,2
48502,2003,Associated Beth Rivkah Schools,Brooklyn,NY,11225,5
50216,2003,Assumption College for Sisters,Mendham,NJ,07945-080,5
57889,2003,Assumption College,Worcester,MA,01609-129,2
42747,2003,Athenaeum of Ohio,Cincinnati,OH,45230-209,2
79233,2003,Athens State University,Athens,AL,35611,1
24714,2003,Athens Technical College,Athens,GA,30601-150,4
67902,2003,Atlanta Metropolitan College,Atlanta,GA,30310-449,4
67879,2003,Atlanta School of Massage,Atlanta,GA,30338,9
67939,2003,Atlanta Technical College,Atlanta,GA,30310-444,4
50203,2003,Atlantic Cape Community College,Mays Landing,NJ,08330-269,4
70030,2003,Atlantic Technical Center,Coconut Creek,FL,33063-390,4
57876,2003,Atlantic Union College,South Lancaster,MA,01561-100,2
42734,2003,Auburn Career Center,Concord Twp,OH,44077,7
54597,2003,Augsburg College,Minneapolis,MN,55454,2
14504,2003,Augusta Area Dietetic Internship-University Hospital,Augusta,GA,30901-262,2
67837,2003,Augusta State University,Augusta,GA,30904-220,1
67853,2003,Augusta Technical College,Augusta,GA,30906,4
66229,2003,Augustana College,Rock Island,IL,61201-229,2
34638,2003,Augustana College,Sioux Falls,SD,57197-000,2
66216,2003,Aurora University,Aurora,IL,60506-489,2
32671,2003,Austin College,Sherman,TX,75090-440,2
24509,2003,Austin Graduate School of Theology,Austin,TX,78705,2
34217,2003,Austin Peay State University,Clarksville,TN,37044,1
32645,2003,Austin Presbyterian Theological Seminary,Austin,TX,78705-579,2
48483,2003,Austin's School of Spa Technology,Albany,NY,12206,9
38691,2003,Automotive Training Center,Exton,PA,19341-131,6
22927,2003,Autry Technology Center,Enid,OK,73703-250,4
18251,2003,Avance Beauty College,San Diego,CA,92154,9
83311,2003,Aveda Institute-Covington,Covington,LA,70433,9
34530,2003,Avera McKennan Hospital School of Radiologic Technology,Sioux Falls,SD,57117-504,5
34410,2003,Avera Sacred Heart Hospital,Yankton,SD,57078,5
29682,2003,Averett University,Danville,VA,24541,2
24140,2003,Aviation Institute of Maintenance-Philadelphia,Philadelphia,PA,19114-101,6
52994,2003,Avila University,Kansas City,MO,64145-169,2
83394,2003,Award Beauty School,Hagerstown,MD,21740-561,9
76636,2003,Azusa Pacific University,Azusa,CA,91702-700,2
27372,2003,B M Spurr School of Practical Nursing,Glen Dale,WV,26038,8
57863,2003,Babson College,Wellesley,MA,02457-031,2
40468,2003,Bacone College,Muskogee,OK,74403-159,2
67824,2003,Bainbridge College,Bainbridge,GA,39819,4
71167,2003,Bais Binyomin Academy,Stamford,CT,6901,2
24875,2003,Bais Medrash Elyon,Monsey,NY,10952,2
83501,2003,Baker College of Flint,Flint,MI,48507-998,2
81277,2003,Bakersfield College,Bakersfield,CA,93305-129,4
42708,2003,Baldwin-Wallace College,Berea,OH,44017-208,2
63889,2003,Ball State University,Muncie,IN,47306,1
58812,2003,Baltimore City Community College,Baltimore,MD,21215-789,4
58786,2003,Baltimore International College,Baltimore,MD,21202-323,2
87325,2003,Baltimore School of Massage,Linthicum,MD,21090,9
58825,2003,Baltimore Studio of Hair Design,Baltimore,MD,21201-344,9
57850,2003,Bancroft School of Massage Therapy,Worcester,MA,1604,9
48470,2003,Bank Street College of Education,New York,NY,10025,2
52968,2003,Baptist Bible College and Graduate School,Springfield,MO,65803-349,2
38678,2003,Baptist Bible College and Seminary,Clarks Summit,PA,18411,2
34204,2003,Baptist Memorial College of Health Sciences,Memphis,TN,38104,2
32608,2003,Baptist Missionary Association Theological Seminary,Jacksonville,TX,75766-540,2
22424,2003,Baptist Theological Seminary at Richmond,Richmond,VA,23227-453,2
85143,2003,Bar Palma Beauty Careers Academy,Roanoke,VA,24014,9
61434,2003,Barclay College,Haviland,KS,67059-028,2
48454,2003,Bard College,Annandale-On-Hudson,NY,12504-500,2
48441,2003,Barnard College,New York,NY,10027-659,2
60817,2003,Barrett and Company School of Hair Design,Nicholasville,KY,40356-215,6
80497,2003,Barry University,Miami,FL,33161-669,2
76614,2003,Barstow Community College,Barstow,CA,92311,4
44819,2003,Barton College,Wilson,NC,27893-700,2
61687,2003,Barton County Community College,Great Bend,KS,67530,4
27943,2003,Bastyr University,Kenmore,WA,98028,2
59159,2003,Bates College,Lewiston,ME,4240,2
27924,2003,Bates Technical College,Tacoma,WA,98405,4
21234,2003,Baton Rouge College,Baton Rouge,LA,70816,6
8529,2003,Baton Rouge Community College,Baton Rouge,LA,70806,4
59947,2003,Baton Rouge General Medical Center-Radiologic Technology,Baton Rouge,LA,70806,5
59934,2003,Baton Rouge School of Computers,Baton Rouge,LA,70816-818,6
67811,2003,Bauder College,Atlanta,GA,30313,3
20027,2003,Bay Mills Community College,Brimley,MI,49715,4
57824,2003,Bay Path College,Longmeadow,MA,1106,2
57811,2003,Bay State College,Boston,MA,2116,3
57798,2003,Bay State School of Technology,Canton,MA,2021,9
55999,2003,Bay de Noc Community College,Escanaba,MI,49829-251,4
32578,2003,Baylor College of Medicine,Houston,TX,77030-349,2
32565,2003,Baylor University,Waco,TX,76798,2
55986,2003,Bayshire Academy of Beauty Craft Inc,Bay City,MI,48708-561,9
59146,2003,Beal College,Bangor,ME,4401,6
39655,2003,Beau Monde College of Hair Design,Portland,OR,97205,6
44796,2003,Beaufort County Community College,Washington,NC,27889,4
67798,2003,Beauty College of America,Forest Park,GA,30297-144,9
85972,2003,Beauty School of Middletown,Middletown,NY,10940,9
40183,2003,Beauty Technical College Inc,Tahlequah,OK,74465,9
36664,2003,Beaver Falls Beauty Academy,Beaver Falls,PA,15010-420,9
14438,2003,Beck Area Career Center-Red Bud,Red Bud,IL,62278,7
83433,2003,Becker College,Worcester,MA,01615-007,2
16587,2003,Beckley Beauty Academy,Beckley,WV,25801,6
72050,2003,Bel-Rea Institute of Animal Technology,Denver,CO,80247,6
23113,2003,Bell Mar Beauty College,Cicero,IL,60804,9
60804,2003,Bellarmine University,Louisville,KY,40205-067,2
51191,2003,Bellevue University,Bellevue,NE,68005-309,2
28289,2003,Bellingham Beauty School,Bellingham,WA,98226-551,6
28276,2003,Bellingham Technical College,Bellingham,WA,98225-159,4
44783,2003,Belmont Abbey College,Belmont,NC,28012-180,2
42686,2003,Belmont Technical College,Saint Clairsville,OH,43950,4
34188,2003,Belmont University,Nashville,TN,37212-375,2
26804,2003,Beloit College,Beloit,WI,53511-559,2
54571,2003,Bemidji State University,Bemidji,MN,56601,1
27346,2003,Ben Franklin Career Center,Dunbar,WV,25064,4
35444,2003,Benedict College,Columbia,SC,29204-108,2
61674,2003,Benedictine College,Atchison,KS,66002-149,2
65517,2003,Benedictine University,Lisle,IL,60532-090,2
68391,2003,Benes International School of Beauty,New Port Richey,FL,34652,9
57287,2003,Benjamin Franklin Institute of Technology,Boston,MA,2116,1
44770,2003,Bennett College for Women,Greensboro,NC,27401-323,2
29908,2003,Bennington College,Bennington,VT,05201-600,2
60791,2003,Berea College,Berea,KY,40404-218,2
50174,2003,Bergen Community College,Paramus,NJ,07652-159,4
57768,2003,Berklee College of Music,Boston,MA,2215,2
37344,2003,Berks Technical Institute,Wyomissing,PA,19610-116,6
57755,2003,Berkshire Community College,Pittsfield,MA,01201-578,4
67779,2003,Berry College,Mount Berry,GA,30149,2
48390,2003,Beth Hamedrash Shaarei Yosher Institute,Brooklyn,NY,11204,2
48403,2003,Beth Hatalmud Rabbinical College,Brooklyn,NY,11214,2
50148,2003,Beth Medrash Govoha,Lakewood,NJ,08701-275,2
27333,2003,Bethany College,Bethany,WV,26032,2
61661,2003,Bethany College,Lindsborg,KS,67456-189,2
54555,2003,Bethany Lutheran College,Mankato,MN,56001,2
66186,2003,Bethany Theological Seminary,Richmond,IN,47374-401,2
76585,2003,Bethany University,Scotts Valley,CA,95066-289,2
80010,2003,Bethel University,Saint Paul,MN,55112-690,2
38624,2003,Biblical Theological Seminary,Hatfield,PA,19440,2
38611,2003,Bidwell Training Center Inc,Pittsburgh,PA,15233,5
28263,2003,Big Bend Community College,Moses Lake,WA,98837-329,4
76559,2003,Biola University,La Mirada,CA,90639-000,2
79184,2003,Birmingham Southern College,Birmingham,AL,35254,2
78772,2003,Bishop State Community College,Mobile,AL,36603-589,4
43172,2003,Bismarck State College,Bismarck,ND,58506-558,4
80673,2003,Black Hawk College,Moline,IL,61265-589,4
34625,2003,Black Hills Beauty College,Rapid City,SD,57701,6
34612,2003,Black Hills State University,Spearfish,SD,57799-950,1
77588,2003,Black River Technical College,Pocahontas,AR,72455,4
66170,2003,Blackburn College,Carlinville,IL,62626,2
51517,2003,Blackfeet Community College,Browning,MT,59417-081,5
26788,2003,Blackhawk Technical College,Janesville,WI,53547-500,4
44757,2003,Bladen Community College,Dublin,NC,28332,4
22607,2003,Blades School of Hair Design,California,MD,20619,9
56537,2003,Blessed John XXIII National Seminary,Weston,MA,02493-269,2
9719,2003,Blessing Hospital School of Medical Laboratory Technology,Quincy,IL,62305-700,8
66144,2003,Blessing Hospital School of Radiologic Technology,Quincy,IL,62305-700,5
66157,2003,Blessing Rieman College of Nursing,Quincy,IL,62305-700,2
32539,2003,Blinn College,Brenham,TX,77833-409,4
50135,2003,Bloomfield College,Bloomfield,NJ,7003,2
38598,2003,Bloomsburg University of Pennsylvania,Bloomsburg,PA,17815,1
9064,2003,Blue Cliff College-Metairie,Metairie,LA,70002,6
25080,2003,Blue Hills Regional Technical School,Canton,MA,2021,7
53568,2003,Blue Mountain College,Blue Mountain,MS,38610-950,2
39642,2003,Blue Mountain Community College,Pendleton,OR,97801,4
44744,2003,Blue Ridge Community College,Flat Rock,NC,28731-472,4
29663,2003,Blue Ridge Community College,Weyers Cave,VA,24486-008,4
29647,2003,Bluefield College,Bluefield,VA,24605,2
27313,2003,Bluefield State College,Bluefield,WV,24701,1
42661,2003,Bluffton University,Bluffton,OH,45817-210,2
53328,2003,Board of Trustees-Mississippi State Institutions of Higher Learning,Jackson,MS,39211,0
35428,2003,Bob Jones University,Greenville,SC,29614,2
66552,2003,Boise Bible College,Boise,ID,83714-122,2
66539,2003,Boise State University,Boise,ID,83725,1
52952,2003,Boonslick Technical Education Center,Boonville,MO,65233,7
48358,2003,Boricua College,New York,NY,10032-156,2
59918,2003,Bossier Parish Community College,Bossier City,LA,71111-692,4
57837,2003,Boston Baptist College,Boston,MA,02136-403,2
57708,2003,Boston College,Chestnut Hill,MA,2467,2
57721,2003,Boston Graduate School of Psychoanalysis Inc,Brookline,MA,2446,2
57678,2003,Boston University,Boston,MA,2215,2
72020,2003,Boulder College of Massage Therapy,Boulder,CO,80301-329,5
59133,2003,Bowdoin College,Brunswick,ME,04011-844,2
58770,2003,Bowie State University,Bowie,MD,20715-946,1
81680,2003,Bowling Green State University-Main Campus,Bowling Green,OH,43403,1
42274,2003,Bradford School,Columbus,OH,43219,6
38579,2003,Bradford School,Pittsburgh,PA,15219,6
66128,2003,Bradley University,Peoria,IL,61625-000,2
48345,2003,Bramson ORT College,Forest Hills,NY,11375-423,5
57664,2003,Brandeis University,Waltham,MA,02454-911,2
82618,2003,Branford Hall Career Institute-Branford Campus,Branford,CT,06405-410,9
32496,2003,Brazosport College,Lake Jackson,TX,77566-319,1
67750,2003,Brenau University,Gainesville,GA,30501-366,2
60778,2003,Brescia University,Owensboro,KY,42301-302,2
44728,2003,Brevard College,Brevard,NC,28712,2
69946,2003,Brevard Community College,Cocoa,FL,32922,4
22149,2003,Brewster Technical Center,Tampa,FL,33602-219,4
67737,2003,Brewton-Parker College,Mount Vernon,GA,30445,2
62664,2003,Briar Cliff University,Sioux City,IA,51104,2
48332,2003,Briarcliffe College,Bethpage,NY,11714-354,3
71150,2003,Bridgeport Hospital School of Nursing,Bridgeport,CT,6610,5
30223,2003,Bridgerland Applied Technology College,Logan,UT,84321,7
29621,2003,Bridgewater College,Bridgewater,VA,22812-159,2
30197,2003,Brigham Young University-Hawaii,Laie,HI,96762-129,2
66372,2003,Brigham Young University-Idaho,Rexburg,ID,83460-410,2
57638,2003,Bristol Community College,Fall River,MA,02720-739,4
84026,2003,Brittany Beauty School,Levittown,NY,11756-134,9
50113,2003,Brookdale Community College,Lincroft,NJ,07738-159,4
32483,2003,Brookhaven College,Farmers Branch,TX,75244-499,4
48310,2003,Brooklyn Law School,Brooklyn,NY,11201,2
48297,2003,Broome Community College,Binghamton,NY,13902-101,4
14030,2003,Broome Delaware Tioga BOCES-Practical Nursing Program,Binghamton,NY,13905,7
16057,2003,Brown Mackie College-Atlanta,Atlanta,GA,30328,6
20896,2003,Brown Mackie College-Findlay,Findlay,OH,45840,6
12540,2003,Brown Mackie College-Hopkinsville,Hopkinsville,KY,42240-494,6
61632,2003,Brown Mackie College-Kansas City,Lenexa,KS,66215,6
60224,2003,Brown Mackie College-Louisville,Louisville,KY,40213-326,6
83142,2003,Brown Mackie College-Merrillville,Merrillville,IN,46410,6
60139,2003,Brown Mackie College-Northern Kentucky,Fort Mitchell,KY,41017,6
61619,2003,Brown Mackie College-Salina,Salina,KS,67401-730,6
63032,2003,Brown Mackie College-South Bend,South Bend,IN,46617,6
35722,2003,Brown University,Providence,RI,2912,2
76520,2003,Brownson Technical School,Anaheim,CA,92805,9
51165,2003,BryanLGH College of Health Sciences,Lincoln,NE,68506-129,2
35709,2003,Bryant University,Smithfield,RI,02917-128,2
84039,2003,Bryant and Stratton College-Main Syracuse,Syracuse,NY,13203-250,6
26238,2003,Bryant and Stratton College-Milwaukee,Milwaukee,WI,53203-260,3
29522,2003,Bryant and Stratton College-Virginia Beach,Virginia Beach,VA,23462,3
38898,2003,Bryn Athyn College of the New Church,Bryn Athyn,PA,19009-071,2
38554,2003,Bryn Mawr College,Bryn Mawr,PA,19010,2
38528,2003,Buck's County School of Beauty Culture Inc,Feasterville,PA,19053-736,6
19356,2003,Buckeye Joint Vocational School,New Philadelphia,OH,44663-945,7
38541,2003,Bucknell University,Lewisburg,PA,17837,2
80975,2003,Bucks County Community College,Newtown,PA,18940-410,4
79484,2003,Buena Vista University,Storm Lake,IA,50588,2
57608,2003,Bunker Hill Community College,Boston,MA,02129-292,4
29895,2003,Burlington College,Burlington,VT,5401,2
50100,2003,Burlington County College,Pemberton,NJ,08068-159,4
48284,2003,Business Informatics Center Inc,Valley Stream,NY,11580-543,6
84584,2003,Butler Beauty School,Butler,PA,16001,9
71124,2003,Butler Business School Inc,Bridgeport,CT,6604,9
38508,2003,Butler County Community College,Butler,PA,16003-120,4
42612,2003,Butler Tech-D Russel Lee Career Center,Hamilton,OH,45011,7
63863,2003,Butler University,Indianapolis,IN,46208,2
51504,2003,Butte Academy of Beauty Culture,Butte,MT,59701,6
76494,2003,Butte College,Oroville,CA,95965-839,4
85985,2003,CC's Cosmetology College,Tulsa,OK,74129,9
65036,2003,CET-Chicago,Chicago,IL,60624,8
19864,2003,CET-Coachella,Coachella,CA,92236,8
11406,2003,CET-Durham,Durham,NC,27701,8
75818,2003,CET-El Centro,El Centro,CA,92243,8
75779,2003,CET-Gilroy,Gilroy,CA,95020,8
19851,2003,CET-Oxnard,Oxnard,CA,93030,8
19824,2003,CET-Rancho Temecula,Temecula,CA,92590,8
10849,2003,CET-Sacramento,Sacramento,CA,95828,8
75766,2003,CET-Salinas,Salinas,CA,93901,8
75844,2003,CET-San Diego,San Diego,CA,92102,8
19837,2003,CET-Santa Maria,Santa Maria,CA,93458,8
75831,2003,CET-Sobrato,San Jose,CA,95110,8
75792,2003,CET-Watsonville,Watsonville,CA,95076,8
82313,2003,COBA Academy,Orange,CA,92866,9
79549,2003,CUNY City College,New York,NY,10031-910,1
47895,2003,CVPH Medical Center School of Radiologic Technology,Plattsburgh,NY,12901,5
44702,2003,Cabarrus College of Health Sciences,Concord,NC,28025,2
27296,2003,Cabell County Career Technology Center,Huntington,WV,25705,4
76446,2003,Cabrillo College,Aptos,CA,95003,4
38495,2003,Cabrini College,Radnor,PA,19087-369,2
23067,2003,Caddo Kiowa Technology Center,Fort Cobb,OK,73038-019,4
20173,2003,Cain's Barber College Inc,Chicago,IL,60615-351,9
50079,2003,Caldwell College,Caldwell,NJ,07006-619,2
44689,2003,Caldwell Community College and Technical Institute,Hudson,NC,28638,4
76433,2003,California Baptist University,Riverside,CA,92504-329,2
76037,2003,California Beauty School,Modesto,CA,95354,9
23595,2003,California Career School,Anaheim,CA,92805,9
76021,2003,California Christian College,Fresno,CA,93703-359,2
76420,2003,California College of the Arts,Oakland,CA,94618-148,2
76000,2003,California College-San Diego,San Diego,CA,92108-382,3
75980,2003,California Culinary Academy,San Francisco,CA,94102,6
75964,2003,California Hair Design Academy,La Mesa,CA,91941-505,9
76394,2003,California Institute of Technology,Pasadena,CA,91125,2
75951,2003,California Institute of the Arts,Valencia,CA,91355-239,2
76381,2003,California Lutheran University,Thousand Oaks,CA,91360-278,2
75932,2003,California Maritime Academy,Vallejo,CA,94590,1
76368,2003,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,1
76303,2003,California State Polytechnic University-Pomona,Pomona,CA,91768,1
76355,2003,California State University-Bakersfield,Bakersfield,CA,93311-109,1
76329,2003,California State University-Chancellors Office,Long Beach,CA,90802-421,0
76290,2003,California State University-Chico,Chico,CA,95929-015,1
76277,2003,California State University-Dominguez Hills,Carson,CA,90747-000,1
76238,2003,California State University-East Bay,Hayward,CA,94542,1
76264,2003,California State University-Fresno,Fresno,CA,93740,1
76251,2003,California State University-Fullerton,Fullerton,CA,92831-359,1
76225,2003,California State University-Long Beach,Long Beach,CA,90840-011,1
76212,2003,California State University-Los Angeles,Los Angeles,CA,90032,1
16164,2003,California State University-Monterey Bay,Seaside,CA,93955-800,1
